,0
0,120041
1,273167
2,273011
3,273028
4,273043
5,273056
6,273100
7,273110
8,167250
9,160250
10,160252
11,160339
12,167339
13,167253
14,160253
15,167006
16,160006
17,167254
18,160254
19,167255
20,160255
21,167256
22,160256
23,160257
24,167030
25,160030
26,167382
27,160382
28,160338
29,167338
30,167259
31,160259
32,160260
33,167260
34,167261
35,160540
36,160261
37,167262
38,160262
39,167052
40,160052
41,167376
42,160376
43,795120
44,167307
45,160307
46,167022
47,240023
48,926549
49,160447
50,926006
51,167447
52,167114
53,160114
54,167354
55,160354
56,167355
57,160355
58,130081
59,167184
60,160184
61,160043
62,160549
63,167133
64,167023
65,167049
66,160049
67,926024
68,160023
69,160107
70,167107
71,167053
72,160053
73,167263
74,160263
75,160054
76,167152
77,167072
78,160072
79,160126
80,167126
81,926457
82,167264
83,160264
84,167356
85,160356
86,167108
87,160108
88,160115
89,167115
90,167357
91,160357
92,160470
93,167470
94,160544
95,167009
96,160009
97,167383
98,160383
99,167018
100,160018
101,926044
102,160232
103,167232
104,167128
105,160128
106,167429
107,160429
108,167406
109,160406
110,167366
111,160366
112,160478
113,80005
114,167178
115,160178
116,160185
117,167185
118,160499
119,167499
120,167123
121,160123
122,160450
123,167450
124,273017
125,167174
126,160524
127,167524
128,160210
129,160230
130,167230
131,167229
132,160229
133,167265
134,160265
135,160174
136,160209
137,167209
138,167227
139,160227
140,343029
141,167340
142,160340
143,167055
144,160055
145,160442
146,167432
147,160432
148,167172
149,167378
150,273126
151,160378
152,160025
153,343037
154,167145
155,167116
156,160116
157,160032
158,167032
159,160341
160,167341
161,167131
162,160145
163,167350
164,160350
165,343035
166,167384
167,160384
168,167029
169,160029
170,167159
171,160159
172,273007
173,343034
174,160136
175,167136
176,400001
177,167033
178,160033
179,167433
180,160433
181,167266
182,160266
183,167453
184,167420
185,160420
186,167418
187,160418
188,343036
189,160482
190,240001
191,167155
192,167498
193,167477
194,160477
195,167203
196,160203
197,160155
198,160161
199,167161
200,160498
201,167267
202,160267
203,160484
204,167484
205,167106
206,160106
207,160463
208,167434
209,160434
210,167268
211,160268
212,167153
213,160469
214,167469
215,167473
216,160473
217,160497
218,167497
219,160541
220,167478
221,160270
222,167428
223,160428
224,795130
225,167236
